Tên BĐS,Vị trí,Giá,Diện tích,Giá/m²,Phòng ngủ,Phòng WC
"3,8 tỷ có nhà Ba Đình dân xây 20m2 3tầng đẹp, ngõ nông đối diện Lăng Bác kinh doanh 15m ra oto + hồ","Ngọc Hà, Ba Đình","3,8 tỷ",20 m²,190 tr/m²,2,2
Nhà mới! Bán nhà ngõ 158 Ngọc Hà DT 39m2 x 6 tầng MT 4.6m. Gía 8.7 tỷ có TL. LH 0968 963 ***,"Ngọc Hà, Ba Đình","8,7 tỷ",39 m²,"223,08 tr/m²",4,5
Bán nhà ngõ 58 Đào Tấn 2 thoáng 100m ra phố DT 44m2 x 5 tầng. Giá 8.7 tỷ có TL. LH 0968 963 ***,"Cống Vị, Ba Đình","8,7 tỷ",44 m²,"197,73 tr/m²",6,4
BÁN NHÀ NGÕ 62 NGỌC HÀ - GẦN LĂNG BÁC - VƯỜN BÁCH THẢO 60M2 -6T - THANG MÁY,"Ngọc Hà, Ba Đình","14,7 tỷ",59 m²,"249,15 tr/m²",N/A,N/A
Bán nhà 5 tầng thang máy phố Hoàng Hoa Thám- Đội Cấn cách ôtô 10m,"Đội Cấn, Ba Đình","9,5 tỷ",36 m²,"263,89 tr/m²",3,4
"Bán nhà riêng chính chủ ngõ 6 Đội Nhân, 46 mv, ngõ 2 ô tô tránh nhau, gần trường học chợ bệnh viện","Vĩnh Phúc, Ba Đình","16,2 tỷ",46 m²,"352,17 tr/m²",3,4
Kim Mã xây mới - dòng tiền 50tr/1 tháng - lô góc - không có căn thứ 2,"Kim Mã, Ba Đình","10,2 tỷ",42 m²,"242,86 tr/m²",9,9
Cập nhật quỹ căn độc quyền Aqua 44 Yên Phụ tháng 4/2025. Hotline: 0933 218 ***,"Trúc Bạch, Ba Đình","13,5 tỷ",118 m²,"114,41 tr/m²",3,2
"Bán CH DT: 77m2 siêu hiếm tại Grandeur Palace 138B Giảng Võ, tầng cao view Hồ Tây, LH 0971 366 ***","Kim Mã, Ba Đình",Giá thỏa thuận,77 m²,N/A,2,1
"Bán nhà mặt hồ Đầm Tròn ngõ 135 Đội Cấn DT 279m2, MT 11m, vị trí siêu đẹp mặt hồ 68 tỷ","Đội Cấn, Ba Đình",68 tỷ,279 m²,"243,73 tr/m²",N/A,N/A
"Bán biệt thự sân vườn Giang Văn Minh, Quận Ba Đình. Mặt tiền 12m. Giá 289tr/m2","Kim Mã, Ba Đình",99 tỷ,360 m²,275 tr/m²,5,4
"Chính chủ bán 2 căn MP. Liễu Giai DT 105m2 x 10T MT 6,2m (thang máy)","Liễu Giai, Ba Đình",69 tỷ,105 m²,"657,14 tr/m²",N/A,N/A
"Chính chủ! Bán mặt phố Văn Cao DT 76m2 x 5 tầng MT 7m, quy hoạch ổn định","Liễu Giai, Ba Đình",33 tỷ,76 m²,"434,21 tr/m²",N/A,N/A
"Tôi chủ nhà cần bán lại căn hộ 3 phòng ngủ view hồ Đống Đa, sang ngang giá đợt hợp đồng, xem nhà LH","Thành Công, Ba Đình","12,2 tỷ",106 m²,"115,09 tr/m²",3,2
"Đẳng cấp mặt phố, mặt hồ Phạm Huy Thông, Ba Đình 396m2 x 9 tầng 2 hầm, thu 7.2 tỷ/năm - 280 tỷ","Ngọc Khánh, Ba Đình",280 tỷ,396 m²,"707,07 tr/m²",11,11
"Hàng hiếm sót lại! Ngõ 279 Đội Cấn, Ngọc Hà. 40m2*6T, thang máy mới full nội thất 35m ra đường ô tô","Ngọc Hà, Ba Đình","8,39 tỷ",40 m²,"209,75 tr/m²",N/A,N/A
"Chính chủ, bán nhà mặt phố Hàng Bún nhà đẹp đầu tư kinh doanh, mặt tiền siêu rộng 8m nhà 4 tầng đẹp","Trúc Bạch, Ba Đình",89 tỷ,156 m²,"570,51 tr/m²",6,6
Bán nhà 6 tầng phố Cao Bá Quát ngay ngã tư Hoàng Diệu Cao Bá Quát P. Điện Biên 14 tỷ,"Điện Biên, Ba Đình",14 tỷ,45 m²,"311,11 tr/m²",N/A,N/A
"Bán nhà mới đẹp, lô góc, thang máy, ô tô Đội Cấn, HHT Quận Ba Đình: 43m2x6tầng, giá rẻ 8.6 tỷ","Đội Cấn, Ba Đình","8,6 tỷ",43 m²,200 tr/m²,N/A,N/A
Siêu phẩm mặt phố sát Liễu Giai 188m2 10 tầng doanh thu 10 nghìn đô,"Liễu Giai, Ba Đình",100 tỷ,188 m²,"531,92 tr/m²",17,17
"Bán nhanh 4.000 m2 đất Minh Quang, Ba Vì","Minh Quang, Ba Vì",10 tỷ,4.000 m²,"2,5 tr/m²",N/A,N/A
"Bán đất nghỉ dưỡng xã Minh Quang, Ba Vì, Hà Nội","Minh Quang, Ba Vì",9 tỷ,4.000 m²,"2,25 tr/m²",N/A,N/A
"Chủ cần tiền giảm sâu, bán gấp lô đất tái định cư Đồng Doi 116m2. Đường ô tô rộng tránh thoải mái","Yên Bài, Ba Vì",Giá thỏa thuận,116 m²,N/A,N/A,N/A
"Bán đất tại Xã Minh Quang, Ba Vì, Hà Nội, giá tốt 4,5 tỷ, diện tích 964m2","Minh Quang, Ba Vì","4,5 tỷ",964 m²,"4,67 tr/m²",N/A,N/A
"Bán đất 841m2 tại Yên Bài, Ba Vì, Hà Nội, 5,5 tỷ, mặt tiền 23.27m, pháp lý đầy đủ","Yên Bài, Ba Vì","5,5 tỷ",841 m²,"6,54 tr/m²",N/A,N/A
"Bán đất đẹp Ba Vì 522m², cách Ao Vua 300m, 2 lô liền kề, view thoáng, pháp lý chuẩn","Tản Lĩnh, Ba Vì",Giá thỏa thuận,"522,1 m²",N/A,N/A,N/A
Đất mặt đường apphan thông thoáng rộng rãi,"Minh Quang, Ba Vì","4,5 tỷ",963 m²,"4,67 tr/m²",N/A,N/A
"Bán đất Minh Quang, 1,7 tỷ, 480,9 m2, mặt tiền 8,5m, Sổ đỏ chính chủ, phong thủy đẹp","Minh Quang, Ba Vì","1,7 tỷ","480,9 m²","3,54 tr/m²",N/A,N/A
"Bán đất siêu đẹp tại Tản Lĩnh mặt tiền 55m, đường lớn, Tỉnh Lộ ĐT87A 20m, UBND Tản Lĩnh 100m","Tản Lĩnh, Ba Vì",12 tỷ,2.091 m²,"5,74 tr/m²",N/A,N/A
"Quá hót chính chủ mở bán lô đất nghỉ dưỡng siêu đẹp mặt đường nhựa rộng 10m, giá chỉ hơn 4tr/m2","Minh Quang, Ba Vì","4,53 tỷ",963 m²,"4,7 tr/m²",N/A,N/A
"Vỡ nợ bán đất view hồ Suối Hai tại trung tâm Ba Trại, Ba Vì! Thiên đường homestay - nghỉ dưỡng","Ba Trại, Ba Vì","7,14 tỷ","2.040,8 m²","3,5 tr/m²",N/A,N/A
"Cần bán-mua 3000m2 đất tại yên bài, ba vì. 0966 212 ***","Yên Bài, Ba Vì",Giá thỏa thuận,3.000 m²,N/A,N/A,N/A
CHÍNH CHỦ bán lô đất FULL THỔ CƯ lưng tựa núi mặt hướng thủy siêu đẹp tại trung tâm nghỉ dưỡng,"Yên Bài, Ba Vì","2,7 tỷ",180 m²,15 tr/m²,N/A,N/A
Chính chủ cần chuyển nhượng lô đất mặt Tỉnh Lộ 86,"Ba Trại, Ba Vì","1,75 tỷ","142,5 m²","12,28 tr/m²",N/A,N/A
"Bán đất nghỉ đưỡng, bám hồ Đập Vống dài 25m","Minh Quang, Ba Vì","4,42 tỷ","1.119,8 m²","3,95 tr/m²",N/A,N/A
Lô đất hơn 7241m2 sẵn nhà xưởng giá nhô 3 triệu/m2,"Yên Bài, Ba Vì",Giá thỏa thuận,7.241 m²,N/A,N/A,N/A
Sở hữu nhà vườn tại Ba Vì sẵn nhà kd ngay giá chỉ nhỉnh 2 tỷ,"Vân Hòa, Ba Vì",Giá thỏa thuận,166 m²,N/A,N/A,N/A
"Bán lô đất đầu tư tuyệt đẹp tại yên bài , ba vì , hà nội","Yên Bài, Ba Vì",Giá thỏa thuận,209 m²,N/A,N/A,N/A
"Chính chủ bán 89,9m2 tại khu Tái định cư Đồng Doi Yên Bài Ba Vì","Yên Bài, Ba Vì",Giá thỏa thuận,"89,9 m²",N/A,N/A,N/A
"Bán lô góc 350m2 tái định cư Đồng Doi, Yên Bài, Ba Vì, Hà Nội","Yên Bài, Ba Vì",Giá thỏa thuận,350 m²,N/A,N/A,N/A
"CHÍNH CHỦ, BÁN NHÀ PHỐ TRẦN CUNG, 5 TẦNG, 4 PHÒNG NGỦ, 2 MẶT THOÁNG DT 33M2, GIÁ 7,1 TỶ",·,"7,1 tỷ",33 m²,"215,15 tr/m²",4,4
"BÁN CĂN HỘ CT2C KHU ĐÔ THỊ MỚI NGHĨA ĐÔ 45M2 2 PN, 1WC NỘI THẤT CƠ BẢN: ĐIỀU HÒA, TỦ BẾP, TỦ LẠNH",·,"3,7 tỷ",45 m²,"82,22 tr/m²",2,1
QUỸ CĂN HỘ CHUYỂN NHƯỢNG TẠI AN BÌNH CITY LOẠI 2 & 3 PHÒNG NGỦ GIÁ CỰC TỐT,·,"6,2 tỷ",90 m²,"68,89 tr/m²",3,2
"BÁN CĂN HỘ CHUNG CƯ AN BÌNH CITY, 5,6 TỶ, 74M2, 2PN, 2WC, BẮC TỪ LIÊM, HÀ NỘI",·,"5,6 tỷ",74 m²,"75,68 tr/m²",2,2
TỔNG HỢP QUỸ CĂN HỘ CHUYỂN NHƯỢNG TẠI GOLDMARK CITY ĐẦY ĐỦ 2 PN - 3 PN & 4 PN GIÁ TỐT NHẤT,·,"5,9 tỷ",93 m²,"63,44 tr/m²",2,2
"ĐỘC QUYỀN QUỸ CĂN HỘ 2-3PN AN BÌNH CITY CẦN BÁN GẤP, CẮT LỖ SÂU, CẬP NHẬT HÀNG NGÀY LH: 0399 028 ***",·,"5,9 tỷ",90 m²,"65,56 tr/m²",3,2
"BÁN GẤP CĂN HỘ 3PN 2WC TẠI AN BÌNH CITY, 8,4 TỶ, 112M2",·,"8,4 tỷ",112 m²,75 tr/m²,3,2
"CAM KẾT GIÁ TỐT NHẤT: QUỸ CĂN HỘ GOLDMARK CITY CHUYỂN NHƯỢNG 2 3 4PN, NGUỒN CHÍNH CHỦ GIÁ TỐT NHẤT",·,6 tỷ,110 m²,"54,54 tr/m²",3,2
DANH SÁCH CẬP NHẬT LIÊN TỤC - CH SUNSHINE CITY CIPUTRA THÁNG 04/2025 (2PN + 3PN + DUPLEX) ĐÃ UPDATE,·,"7,35 tỷ",99 m²,"74,24 tr/m²",3,2
Chính chủ (không mất phí môi giới)cần tiền xoay vòng vốn bán nhanh căn 3PN+1kho siêu đẹp 0979 003 ***,"Phú Diễn, Bắc Từ Liêm","8,2 tỷ",123 m²,"66,67 tr/m²",3,2
